YAL001C	TFC3
YAL002W	VPS8
YAL003W	EFB1
YAL004W	YAL004W
YAL005C	SSA1
YAL007C	ERP2
YAL008W	FUN14
YAL009W	SPO7
YAL010C	MDM10
YAL011W	FUN36
YAL012W	CYS3
YAL013W	DEP1
YAL014C	FUN34
YAL015C	NTG1
YAL016W	TPD3
YAL017W	FUN31
YAL018C	YAL018C
YAL019W	FUN30
YAL020C	ATS1
YAL021C	CCR4
YAL022C	FUN26
YAL023C	PMT2
YAL024C	LTE1
YAL025C	MAK16
YAL026C	DRS2
YAL027W	YAL027W
YAL028W	YAL028W
YAL029C	MYO4
YAL030W	SNC1
YAL031C	FUN21
YAL032C	PRP45
YAL033W	POP5
YAL034C	FUN19
YAL034W-A	MTW1
YAL035W	FUN12
YAL036C	FUN11
YAL037W	YAL037W
YAL038W	CDC19
YAL039C	CYC3
YAL040C	CLN3
YAL041W	CDC24
YAL042W	ERV46
YAL043C	PTA1
YAL044C	GCV3
YAL045C	YAL045C
YAL046C	YAL046C
YAL047C	SPC72
YAL048C	YAL048C
YAL049C	YAL049C
YAL051W	OAF1
YAL053W	YAL053W
YAL054C	ACS1
YAL055W	PEX22
YAL056W	GPE2
YAL058W	CNE1
YAL059W	ECM1
YAL060W	FUN49
YAL061W	FUN50
YAL062W	GDH3
YAL063C	FLO9
YAL064C-A	YAL064C-A
YAL064W	YAL064W
YAL065C	YAL065C
YAL067C	SEO1
YAL068C	YAL068C
YAR002C-A	ERP1
YAR002W	NUP60
YAR003W	FUN16
YAR007C	RFA1
YAR008W	SEN34
YAR014C	BUD14
YAR015W	ADE1
YAR018C	KIN3
YAR019C	CDC15
YAR020C	PAU7
YAR023C	YAR023C
YAR027W	FUN55
YAR028W	YAR028W
YAR029W	FUN57
YAR030C	YAR030C
YAR031W	PRM9
YAR033W	FUN59
YAR035W	YAT1
YAR042W	SWH1
YAR044W	OSH1
YAR047C	YAR047C
YAR050W	FLO1
YAR053W	YAR053W
YAR060C	YAR060C
YAR061W	YAR061W
YAR062W	YAR062W
YAR064W	YAR064W
YAR066W	YAR066W
YAR068W	YAR068W
YAR069C	YAR069C
YAR070C	YAR070C
YAR071W	PHO11
YAR073W	IMD1
YAR075W	YAR075W
YBL001C	ECM15
YBL002W	HTB2
YBL003C	HTA2
YBL004W	YBL004W
YBL005W	PDR3
YBL006C	YBL006C
YBL007C	SLA1
YBL008W	HIR1
YBL009W	YBL009W
YBL010C	YBL010C
YBL011W	SCT1
YBL012C	YBL012C
YBL013W	FMT1
YBL014C	RRN6
YBL015W	ACH1
YBL016W	FUS3
YBL017C	PEP1
YBL018C	POP8
YBL019W	APN2
YBL020W	RFT1
YBL021C	HAP3
YBL022C	PIM1
YBL023C	MCM2
YBL024W	NCL1
YBL025W	RRN10
YBL026W	LSM2
YBL027W	RPL19B
YBL028C	YBL028C
YBL029W	YBL029W
YBL030C	PET9
YBL031W	SHE1
YBL032W	YBL032W
YBL033C	RIB1
YBL034C	STU1
YBL035C	POL12
YBL036C	YBL036C
YBL037W	APL3
YBL038W	MRPL16
YBL039C	URA7
YBL040C	ERD2
YBL041W	PRE7
YBL042C	FUI1
YBL043W	ECM13
YBL044W	YBL044W
YBL045C	COR1
YBL046W	YBL046W
YBL047C	EDE1
YBL048W	YBL048W
YBL049W	YBL049W
YBL050W	SEC17
YBL051C	PIN4
YBL052C	SAS3
YBL053W	YBL053W
YBL054W	YBL054W
YBL055C	YBL055C
YBL056W	PTC3
YBL057C	YBL057C
YBL058W	SHP1
YBL059C-A	YBL059C-A
YBL059W	YBL059W
YBL060W	YBL060W
YBL061C	SKT5
YBL062W	YBL062W
YBL063W	KIP1
YBL064C	YBL064C
YBL065W	YBL065W
YBL066C	SEF1
YBL067C	UBP13
YBL068W	PRS4
YBL069W	AST1
YBL070C	YBL070C
YBL071C	YBL071C
YBL072C	RPS8A
YBL073W	YBL073W
YBL074C	AAR2
YBL075C	SSA3
YBL076C	ILS1
YBL077W	YBL077W
YBL078C	AUT7
YBL079W	NUP170
YBL080C	PET112
YBL081W	YBL081W
YBL082C	RHK1
YBL083C	YBL083C
YBL084C	CDC27
YBL085W	BOI1
YBL086C	YBL086C
YBL087C	RPL23A
YBL088C	TEL1
YBL089W	YBL089W
YBL090W	MRP21
YBL091C	MAP2
YBL092W	RPL32
YBL093C	ROX3
YBL094C	YBL094C
YBL095W	YBL095W
YBL096C	YBL096C
YBL097W	BRN1
YBL098W	YBL098W
YBL099W	ATP1
YBL100C	YBL100C
YBL101C	ECM21
YBL102W	SFT2
YBL103C	RTG3
YBL104C	YBL104C
YBL105C	PKC1
YBL106C	SRO77
YBL107C	YBL107C
YBL107W-A	YBL107W-A
YBL108W	YBL108W
YBL109W	YBL109W
YBL111C	YBL111C
YBL112C	YBL112C
YBL113C	YBL113C
YBR001C	NTH2
YBR002C	RER2
YBR003W	COQ1
YBR004C	YBR004C
YBR005W	YBR005W
YBR006W	UGA2
YBR007C	YBR007C
YBR008C	FLR1
YBR009C	HHF1
YBR010W	HHT1
YBR011C	IPP1
YBR012C	YBR012C
YBR013C	YBR013C
YBR014C	YBR014C
YBR015C	MNN2
YBR016W	YBR016W
YBR017C	KAP104
YBR018C	GAL7
YBR019C	GAL10
YBR020W	GAL1
YBR021W	FUR4
YBR022W	YBR022W
YBR023C	CHS3
YBR024W	SCO2
YBR025C	YBR025C
YBR026C	MRF1
YBR027C	YBR027C
YBR028C	YBR028C
YBR029C	CDS1
YBR030W	YBR030W
YBR031W	RPL4A
YBR032W	YBR032W
YBR033W	YBR033W
YBR034C	HMT1
YBR035C	PDX3
YBR036C	CSG2
YBR037C	SCO1
YBR038W	CHS2
YBR039W	ATP3
YBR040W	FIG1
YBR041W	FAT1
YBR042C	CST26
YBR043C	YBR043C
YBR044C	TCM62
YBR045C	GIP1
YBR046C	ZTA1
YBR047W	YBR047W
YBR048W	RPS11B
YBR049C	REB1
YBR050C	REG2
YBR051W	YBR051W
YBR052C	YBR052C
YBR053C	YBR053C
YBR054W	YRO2
YBR055C	PRP6
YBR056W	YBR056W
YBR057C	MUM2
YBR058C	UBP14
YBR058C-A	TSC3
YBR059C	AKL1
YBR060C	ORC2
YBR061C	YBR061C
YBR062C	YBR062C
YBR063C	YBR063C
YBR064W	YBR064W
YBR065C	ECM2
YBR066C	NRG2
YBR067C	TIP1
YBR068C	BAP2
YBR069C	TAT1
YBR070C	SAT2
YBR071W	YBR071W
YBR072W	HSP26
YBR073W	RDH54
YBR074W	YBR074W
YBR075W	YBR075W
YBR076W	ECM8
YBR077C	YBR077C
YBR078W	ECM33
YBR079C	RPG1
YBR080C	SEC18
YBR081C	SPT7
YBR082C	UBC4
YBR083W	TEC1
YBR084C-A	RPL19A
YBR084W	MIS1
YBR085C-A	YBR085C-A
YBR085W	AAC3
YBR086C	IST2
YBR087W	RFC5
YBR088C	POL30
YBR089C-A	NHP6B
YBR089W	YBR089W
YBR090C	YBR090C
YBR091C	MRS5
YBR092C	PHO3
YBR093C	PHO5
YBR094W	YBR094W
YBR095C	YBR095C
YBR096W	YBR096W
YBR097W	VPS15
YBR098W	MMS4
YBR099C	YBR099C
YBR100W	YBR100W
YBR101C	YBR101C
YBR102C	EXO84
YBR103W	SIF2
YBR104W	YMC2
YBR105C	VID24
YBR106W	PHO88
YBR107C	IML3
YBR108W	YBR108W
YBR109C	CMD1
YBR110W	ALG1
YBR111C	YSA1
YBR112C	CYC8
YBR113W	YBR113W
YBR114W	RAD16
YBR115C	LYS2
YBR116C	YBR116C
YBR117C	TKL2
YBR118W	TEF2
YBR119W	MUD1
YBR120C	CBP6
YBR121C	GRS1
YBR122C	MRPL36
YBR123C	TFC1
YBR124W	YBR124W
YBR125C	PTC4
YBR126C	TPS1
YBR127C	VMA2
YBR128C	APG14
YBR129C	OPY1
YBR130C	SHE3
YBR131W	CCZ1
YBR132C	AGP2
YBR133C	HSL7
YBR134W	YBR134W
YBR135W	CKS1
